Arecibo Observatory Red Line Fabry-Perot  Brightness and Temperature
Plate gap:  1.0560 FSR:   84.7353 bin units sensitivity: 60.00000[bin units*(adu/pixel)]*1/R
ao220308   flats: ao220308  quadratic background, Poisson weighting, ( sky  )   moon phase:  First quarter ; 
avg. brightness Z (R):   49.9 +/- 30.8 avg. error:   2.6
avg. brightness N (R):   58.4 +/- 36.6 avg. error:   2.8  avg. brightness S (R):   61.5 +/- 35.4 avg. error:   2.8
avg. brightness E (R):   64.5 +/- 36.0 avg. error:   2.8  avg. brightness W (R):   54.9 +/- 37.8 avg. error:   2.7
avg. background Z (R):   52.9 +/- 21.1 avg. error:   1.3
avg. background N (R):   60.6 +/- 32.6 avg. error:   1.6  avg. background S (R):   52.5 +/-  9.3 avg. error:   1.3
avg. background E (R):   55.3 +/- 10.7 avg. error:   1.3  avg. background W (R):   62.1 +/- 25.6 avg. error:   1.6
     avg. temp. Z (K): 1097.8 +/-121.2 avg. error:  36.3
     avg. temp. N (K): 1094.1 +/-112.9 avg. error:  33.8  avg. temp. S (K): 1117.9 +/-107.8 avg. error:  30.1
     avg. temp. E (K): 1119.4 +/-103.0 avg. error:  31.8  avg. temp. W (K): 1096.4 +/- 96.6 avg. error:  35.7
data quality: code=0 trustworthy;  code=1 be suspicious;  code=2 be dubious
Location latitude: 18.35, longitude: -66.75
SS-Analyze V05.02
 
 
 
 
image tmid Etime   AZ    ZN   signal Esignal   bkgnd  Ebkgnd   temp    Etemp  moon code
  #   hrs  hrs    deg   deg      R      R         R      R      K        K      %
   0 23.28 0.017   0.0   0.0  155.28   4.696   157.0    2.28 1226.390  17.766 39.5  1
   1 23.32 0.017   0.0  45.0  181.10   4.729   122.4    2.03 1240.809  15.095 39.5  1
   2 23.36 0.017  90.0  45.0  134.67   4.083    91.0    1.76 1255.775  17.758 39.5  1
   3 23.40 0.017 180.0  45.0  166.68   4.376    87.7    1.74 1263.849  15.209 39.5  1
   4 23.44 0.017 270.0  45.0  186.57   4.887   136.2    2.16 1295.235  15.953 39.5  1
   5 23.49 0.017   0.0   0.0  115.42   3.751    75.2    1.59 1236.044  18.664 39.5  1
   6 23.53 0.017   0.0  45.0  136.04   3.984    77.2    1.62 1226.285  16.511 39.6  1
   7 23.57 0.017  90.0  45.0  111.86   3.627    64.1    1.48 1254.618  18.750 39.6  0
   8 23.61 0.017 180.0  45.0  135.42   3.913    68.2    1.53 1240.642  16.356 39.6  1
   9 23.65 0.017 270.0  45.0  143.05   4.147    91.7    1.75 1190.688  15.971 39.6  1
  10 23.78 0.017   0.0   0.0   95.14   3.418    62.0    1.46 1273.551  21.306 39.6  0
  11 23.82 0.017   0.0  45.0  111.72   3.652    69.0    1.52 1214.403  18.344 39.6  0
  12 23.86 0.017  90.0  45.0   92.18   3.406    68.8    1.50 1174.505  20.273 39.6  0
  13 23.90 0.017 180.0  45.0  120.20   3.696    63.6    1.46 1194.694  16.771 39.7  1
