Cachoeira Paulista (temp) Red Line Fabry-Perot  Brightness and Temperature
Plate gap:  1.0192 FSR:  108.9364 bin units sensitivity: 60.00000[bin units*(adu/pixel)]*1/R
br220308   flats: br220308  quadratic background, Poisson weighting, ( sky  )   moon phase:  First quarter ; 
avg. brightness Z (R):  217.7 +/-173.5 avg. error:   5.0
avg. brightness N (R):  353.9 +/-230.3 avg. error:   6.3  avg. brightness S (R):  223.0 +/-219.8 avg. error:   4.9
avg. brightness E (R):  226.2 +/-206.7 avg. error:   5.0  avg. brightness W (R):  359.6 +/-259.1 avg. error:   6.4
avg. background Z (R):   82.0 +/- 76.5 avg. error:   8.0
avg. background N (R):  109.9 +/- 55.3 avg. error:  11.6  avg. background S (R):   85.4 +/- 68.1 avg. error:   8.5
avg. background E (R):   88.0 +/- 95.7 avg. error:   8.9  avg. background W (R):  127.9 +/-102.5 avg. error:  12.9
     avg. temp. Z (K):  928.4 +/- 56.0 avg. error:  12.9
     avg. temp. N (K):  925.5 +/- 47.4 avg. error:   9.6  avg. temp. S (K):  929.6 +/- 49.1 avg. error:  13.6
     avg. temp. E (K):  926.9 +/- 49.1 avg. error:  13.0  avg. temp. W (K):  939.4 +/- 52.8 avg. error:  10.1
data quality: code=0 trustworthy;  code=1 be suspicious;  code=2 be dubious
Location latitude: -22.66, longitude: -45.01
SS-Analyze V05.02
 
 
 
 
image tmid Etime   AZ    ZN   signal Esignal   bkgnd  Ebkgnd   temp    Etemp  moon code
  #   hrs  hrs    deg   deg      R      R         R      R      K        K      %
   2 21.95 0.017  90.0  45.0  945.42  12.074   668.1   36.53 1082.132   6.371 40.2  2
   3 21.99 0.017 180.0  45.0 1065.63  11.967   465.3   30.80 1057.551   5.284 40.2  2
   4 22.03 0.017 270.0  45.0 1115.82  12.885   694.6   37.61 1095.840   5.787 40.2  2
   5 22.07 0.017   0.0   0.0  758.14   9.483   181.8   19.38 1061.899   5.683 40.3  1
   6 22.12 0.017   0.0  45.0  915.47  10.478   233.9   21.94 1058.345   5.202 40.3  1
   7 22.16 0.017  90.0  45.0  772.13   9.373   147.4   17.35 1038.102   5.311 40.3  1
   8 22.20 0.017 180.0  45.0  832.58   9.730   158.1   17.98 1040.564   5.124 40.3  1
   9 22.24 0.017 270.0  45.0  975.69  10.706   220.9   21.38 1066.075   4.989 40.3  1
  10 22.34 0.017   0.0   0.0  652.38   8.564   114.9   15.44 1042.321   5.741 40.3  1
  11 22.39 0.017   0.0  45.0  836.51   9.743   156.9   18.03 1038.625   5.093 40.3  1
  12 22.43 0.017  90.0  45.0  695.43   8.805   117.9   15.52 1021.233   5.407 40.4  1
  13 22.47 0.017 180.0  45.0  683.23   8.769   123.2   15.86 1020.843   5.498 40.4  1
  14 22.51 0.017 270.0  45.0  883.08  10.059   175.9   19.08 1039.483   5.003 40.4  1
  15 22.55 0.017   0.0   0.0  591.73   8.182   110.6   15.01 1015.971   5.906 40.4  1
  16 22.59 0.017   0.0  45.0  788.56   9.458   149.4   17.46 1021.374   5.155 40.4  1
  17 22.63 0.017  90.0  45.0  610.29   8.280   111.4   15.04  989.436   5.627 40.4  1
  18 22.67 0.017 180.0  45.0  635.37   8.441   113.8   15.22  999.336   5.562 40.4  1
  19 22.72 0.017 270.0  45.0  825.63   9.767   174.4   18.96 1027.212   5.149 40.4  1
  20 22.82 0.017   0.0   0.0  514.42   7.735   115.3   15.27 1000.478   6.386 40.5  1
  21 22.86 0.017   0.0  45.0  549.62   8.548   243.7    3.03  996.869   6.858 40.5  1
  22 22.90 0.017  90.0  45.0  475.97   7.621   139.9   16.77  990.977   6.846 40.5  1
  23 22.94 0.017 180.0  45.0  512.06   7.683   110.3   14.93  984.099   6.247 40.5  1
  24 22.98 0.017 270.0  45.0  611.35   8.892   235.9   21.72  998.696   6.384 40.5  1
  25 23.02 0.017   0.0   0.0  509.32   7.640   105.3   14.60  992.122   6.285 40.5  1
  26 23.06 0.017   0.0  45.0  787.39   9.448   152.6   17.60  988.098   4.987 40.5  1
  27 23.11 0.017  90.0  45.0  512.21   7.630   101.2   14.22  984.002   6.170 40.5  1
  28 23.15 0.017 180.0  45.0  455.30   7.250    99.3   14.16  980.898   6.612 40.6  1
  29 23.19 0.017 270.0  45.0  752.89   9.352   168.2   18.44  997.095   5.256 40.6  1
  30 23.29 0.017   0.0   0.0  465.60   7.305    97.6   14.03  975.280   6.460 40.6  1
  32 23.37 0.017  90.0  45.0  436.05   7.198   113.6   15.00  966.211   6.820 40.6  1
  33 23.41 0.017 180.0  45.0  388.30   6.860   112.1   15.00  968.310   7.362 40.6  1
  34 23.45 0.017 270.0  45.0  728.19   9.131   150.3   17.44  984.426   5.210 40.6  1
  35 23.50 0.017   0.0   0.0  422.56   7.050   104.0   14.45  963.560   6.848 40.7  1
  36 23.54 0.017   0.0  45.0  549.11   8.422   216.3   20.75  960.921   6.470 40.7  1
  37 23.58 0.017  90.0  45.0  382.19   6.754   103.5   14.29  944.706   7.146 40.7  1
  38 23.62 0.017 180.0  45.0  350.13   6.398    83.6   12.86  957.518   7.436 40.7  1
  39 23.66 0.017 270.0  45.0  652.39   8.689   145.3   17.11  968.527   5.463 40.7  1
  40 23.77 0.017   0.0   0.0  357.28   6.438    81.8   12.73  953.606   7.283 40.7  1
  42 23.85 0.017  90.0  45.0  330.97   6.206    77.8   12.40  942.516   7.498 40.8  1
  43 23.89 0.017 180.0  45.0  309.84   6.300   118.0   15.23  957.961   8.530 40.8  1
  44 23.93 0.017 270.0  45.0  378.98   7.342   220.2   20.86  963.363   8.416 40.8  1
  45 23.97 0.017   0.0   0.0  332.55   6.313    89.0   13.31  990.763   8.067 40.8  1
  46 24.01 0.017   0.0  45.0  672.45   8.718   130.1   16.10  964.793   5.253 40.8  1
  47 24.06 0.017  90.0  45.0  293.63   5.948    82.2   12.75  968.480   8.426 40.8  0
  48 24.10 0.017 180.0  45.0  260.61   5.721    90.2   13.32  963.072   9.202 40.8  1
  49 24.14 0.017 270.0  45.0  505.50   7.942   168.2   18.35  974.051   6.650 40.8  1
  50 24.24 0.017   0.0   0.0  311.27   6.193    97.7   13.88  968.955   8.342 40.9  1
  51 24.28 0.017   0.0  45.0  471.02   7.727   170.5   18.31  959.452   6.870 40.9  1
  52 24.33 0.017  90.0  45.0  249.90   5.481    69.6   11.64  959.639   9.032 40.9  0
  53 24.37 0.017 180.0  45.0  216.48   5.139    65.4    1.58  978.928  10.009 40.9  0
