Culebra Red Line Fabry-Perot  Brightness and Temperature
Plate gap:  1.0525 FSR:   68.8987 bin units sensitivity: 60.00000[bin units*(adu/pixel)]*1/R
cu220825   flats: cu220825  quadratic background, Poisson weighting, ( sky  )   moon phase:  NEW      ; Moon 
avg. brightness Z (R):   45.1 +/- 35.6 avg. error:   2.0
avg. brightness N (R):   55.0 +/- 42.7 avg. error:   2.1  avg. brightness S (R):   55.3 +/- 41.3 avg. error:   2.1
avg. brightness E (R):   48.9 +/- 33.7 avg. error:   2.1  avg. brightness W (R):   57.3 +/- 45.0 avg. error:   2.2
avg. background Z (R):   28.7 +/- 12.4 avg. error:   0.8
avg. background N (R):   30.3 +/- 13.9 avg. error:   0.9  avg. background S (R):   31.6 +/- 17.8 avg. error:   0.9
avg. background E (R):   30.7 +/- 18.7 avg. error:   1.3  avg. background W (R):   31.9 +/- 23.0 avg. error:   1.3
     avg. temp. Z (K): 1037.4 +/-100.3 avg. error:  30.8
     avg. temp. N (K): 1035.2 +/- 79.2 avg. error:  25.1  avg. temp. S (K): 1049.6 +/-116.9 avg. error:  28.2
     avg. temp. E (K): 1048.1 +/- 87.9 avg. error:  27.4  avg. temp. W (K): 1024.6 +/- 93.9 avg. error:  26.2
data quality: code=0 trustworthy;  code=1 be suspicious;  code=2 be dubious
Location latitude: 18.33, longitude: -65.31
SS-Analyze V05.02
 
 
 
 
image tmid Etime   AZ    ZN   signal Esignal   bkgnd  Ebkgnd   temp    Etemp  moon code
  #   hrs  hrs    deg   deg      R      R         R      R      K        K      %
   0 23.32 0.017   0.0   0.0  161.62   3.914   102.0    1.62 1060.617  11.764  8.2  1
   1 23.36 0.017   0.0  45.0  219.96   4.289    86.9    1.51 1055.228   9.118  8.2  1
   2 23.40 0.017  90.0  45.0  153.74   3.556    56.5    1.22 1054.508  10.754  8.2  0
   3 23.44 0.017 180.0  45.0  173.34   3.682    50.4    1.16 1053.284   9.711  8.2  0
   4 23.48 0.017 270.0  45.0  206.49   3.999    57.0    1.23 1058.254   8.870  8.1  0
   5 23.52 0.017   0.0   0.0  135.06   3.233    36.9    0.99 1062.985  11.007  8.1  0
   6 23.57 0.017   0.0  45.0  168.10   3.552    39.1    1.03 1060.783   9.598  8.1  0
   7 23.61 0.017  90.0  45.0  132.24   3.199    36.2    0.98 1061.802  11.112  8.1  0
   8 23.65 0.017 180.0  45.0  146.80   3.353    38.3    1.01 1053.342  10.369  8.1  0
   9 23.69 0.017 270.0  45.0  143.78   3.313    36.4    0.99 1071.625  10.638  8.1  0
  10 23.82 0.017   0.0   0.0  110.40   2.938    32.2    0.92 1045.808  12.076  8.1  0
  11 23.86 0.017   0.0  45.0  135.12   3.211    34.3    0.96 1063.366  10.880  8.0  0
  12 23.90 0.017  90.0  45.0  114.94   3.000    33.4    0.94 1059.475  12.007  8.0  0
  13 23.94 0.017 180.0  45.0  139.81   3.269    36.5    0.99 1037.653  10.450  8.0  0
  14 23.98 0.017 270.0  45.0  158.87   3.451    37.2    1.00 1041.302   9.678  8.0  0
  15 24.02 0.017   0.0   0.0  110.72   2.948    32.9    0.93 1043.852  12.074  8.0  0
  16 24.06 0.017   0.0  45.0  104.02   2.873    32.3    0.93 1060.122  12.770  8.0  0
  17 24.11 0.017  90.0  45.0   95.17   2.773    32.2    0.92 1056.611  13.503  8.0  0
  18 24.15 0.017 180.0  45.0  116.19   3.051    38.4    1.00 1036.822  11.905  8.0  0
  19 24.19 0.017 270.0  45.0  138.83   3.251    35.1    0.97 1051.398  10.590  8.0  0
  20 24.31 0.017   0.0   0.0   88.08   2.678    30.9    0.90 1055.976  14.112  7.9  0
  21 24.36 0.017   0.0  45.0   87.36   2.664    30.6    0.90 1045.858  14.010  7.9  0
  22 24.40 0.017  90.0  45.0   75.99   2.519    29.9    0.89 1051.573  15.440  7.9  0
  23 24.44 0.017 180.0  45.0  104.30   2.891    34.6    0.95 1033.843  12.532  7.9  0
  24 24.48 0.017 270.0  45.0  107.54   2.908    32.2    0.92 1047.754  12.318  7.9  0
  25 24.52 0.017   0.0   0.0   75.07   2.505    29.5    0.88 1058.989  15.657  7.9  0
  26 24.56 0.017   0.0  45.0   74.07   2.485    29.0    0.87 1046.383  15.534  7.8  0
  27 24.60 0.017  90.0  45.0   58.31   2.267    28.3    0.86 1064.153  18.612  7.8  0
  28 24.65 0.017 180.0  45.0   85.41   2.668    33.3    0.94 1051.655  14.542  7.8  0
  29 24.69 0.017 270.0  45.0   76.46   2.520    29.1    0.88 1062.632  15.489  7.8  0
  30 24.81 0.017   0.0   0.0   52.53   2.170    27.6    0.84 1039.847  19.393  7.8  0
  31 24.85 0.017   0.0  45.0   60.92   2.300    28.1    0.86 1050.263  17.750  7.8  0
  32 24.89 0.017  90.0  45.0   43.83   2.025    27.0    0.83 1033.177  21.787  7.8  0
  33 24.94 0.017 180.0  45.0   59.09   2.286    29.5    0.87 1041.418  18.129  7.7  0
  34 24.98 0.017 270.0  45.0   54.37   2.203    27.9    0.85 1051.558  19.214  7.7  0
  35 25.02 0.017   0.0   0.0   44.80   2.045    26.8    0.83 1064.471  22.177  7.7  0
  36 25.06 0.017   0.0  45.0   52.59   2.172    27.1    0.84 1071.586  20.000  7.7  0
  37 25.10 0.017  90.0  45.0   37.45   1.943    28.3    0.86 1089.382  26.273  7.7  0
  38 25.14 0.017 180.0  45.0   38.18   1.993    32.9    0.91 1031.609  25.167  7.7  0
  39 25.19 0.017 270.0  45.0   45.22   2.053    26.9    0.84 1062.678  22.006  7.7  0
  40 25.31 0.017   0.0   0.0   34.05   1.841    25.8    0.81 1026.138  25.686  7.6  0
  41 25.35 0.017   0.0  45.0   42.16   1.992    26.1    0.82 1054.388  22.772  7.6  0
  42 25.39 0.017  90.0  45.0   35.88   1.881    25.8    0.81 1053.398  25.517  7.6  0
  43 25.44 0.017 180.0  45.0   30.18   1.786    26.6    0.82 1064.356  29.545  7.6  0
  44 25.48 0.017 270.0  45.0   39.64   1.952    26.5    0.82 1045.091  23.638  7.6  0
  45 25.52 0.017   0.0   0.0   30.01   1.766    25.3    0.80 1058.682  29.124  7.6  0
  46 25.56 0.017   0.0  45.0   40.36   1.959    26.1    0.82 1041.697  23.172  7.6  0
  47 25.60 0.017  90.0  45.0   27.93   1.721    25.2    0.80 1046.597  30.277  7.6  0
  48 25.64 0.017 180.0  45.0   25.80   1.692    26.0    0.81 1066.257  33.119  7.5  0
  49 25.69 0.017 270.0  45.0   34.10   1.849    25.8    0.81 1060.862  26.695  7.5  0
  50 25.81 0.017   0.0   0.0   21.84   1.586    25.0    0.79 1019.216  35.265  7.5  0
  51 25.85 0.017   0.0  45.0   40.02   1.956    26.3    0.82 1044.535  23.425  7.5  0
  52 25.89 0.017  90.0  45.0   23.34   1.637    24.9    0.80 1117.973  37.418  7.5  0
  53 25.93 0.017 180.0  45.0   22.35   1.624    25.4    0.81 1126.168  39.259  7.5  0
  54 25.98 0.017 270.0  45.0   30.90   1.781    25.7    0.81 1020.284  27.390  7.5  0
  55 26.02 0.017   0.0   0.0   22.25   1.606    25.3    0.80 1057.932  36.467  7.4  0
  56 26.06 0.017   0.0  45.0   35.19   1.866    25.7    0.81 1049.748  25.744  7.4  0
  57 26.10 0.017  90.0  45.0   20.67   1.567    24.6    0.79 1079.193  39.255  7.4  0
  58 26.14 0.017 180.0  45.0   22.10   1.621    25.4    0.81 1142.259  40.261  7.4  0
  59 26.18 0.017 270.0  45.0   28.27   1.731    25.8    0.81 1024.484  29.417  7.4  0
  60 26.31 0.017   0.0   0.0   17.99   1.510    25.1    0.80 1072.883  43.647  7.4  0
  61 26.35 0.017   0.0  45.0   29.04   1.742    25.4    0.80 1030.939  28.942  7.4  0
  62 26.39 0.017  90.0  45.0   19.96   1.550    24.8    0.79 1069.088  39.925  7.3  0
  63 26.43 0.017 180.0  45.0   22.15   1.623    25.2    0.81 1159.302  40.840  7.3  0
  64 26.48 0.017 270.0  45.0   27.78   1.713    25.3    0.80 1013.477  29.287  7.3  0
  65 26.52 0.017   0.0   0.0   18.91   1.552    26.7    0.82 1070.461  42.618  7.3  0
  66 26.56 0.017   0.0  45.0   27.97   1.715    25.2    0.79 1008.546  28.944  7.3  0
  67 26.60 0.017  90.0  45.0   18.47   1.545    26.3    0.82 1115.575  45.449  7.3  0
  68 26.64 0.017 180.0  45.0   15.85   1.559    32.9    0.91 1086.491  53.255  7.3  1
  69 26.68 0.017 270.0  45.0   26.71   1.702    25.7    0.81 1045.055  31.405  7.3  0
  70 26.81 0.017   0.0   0.0   18.83   1.510    24.4    0.78 1023.213  39.449  7.2  0
  71 26.85 0.017   0.0  45.0   27.20   1.712    25.5    0.81 1049.581  31.098  7.2  0
  72 26.89 0.017  90.0  45.0   20.45   1.561    24.7    0.79 1070.992  39.238  7.2  0
  73 26.93 0.017 180.0  45.0   20.48   1.574    24.9    0.80 1118.496  41.417  7.2  0
  74 26.98 0.017 270.0  45.0   23.55   1.627    25.0    0.79 1038.441  34.056  7.2  0
  75 27.02 0.017   0.0   0.0   20.09   1.548    24.3    0.79 1068.334  39.510  7.2  0
  76 27.06 0.017   0.0  45.0   26.69   1.697    25.7    0.80 1021.399  30.577  7.2  0
  77 27.10 0.017  90.0  45.0   20.32   1.570    24.3    0.80 1156.683  43.130  7.1  0
  78 27.14 0.017 180.0  45.0   19.39   1.544    24.7    0.80 1107.921  42.609  7.1  0
  79 27.18 0.017 270.0  45.0   20.00   1.565    24.7    0.80 1141.484  43.137  7.1  0
  80 27.31 0.017   0.0   0.0   18.56   1.513    24.0    0.78 1097.605  43.228  7.1  0
  81 27.35 0.017   0.0  45.0   28.62   1.727    25.6    0.80  982.155  27.681  7.1  0
  82 27.39 0.017  90.0  45.0   18.99   1.536    24.5    0.80 1126.573  44.076  7.1  0
  83 27.43 0.017 180.0  45.0   17.79   1.517    24.5    0.80 1169.367  48.603  7.1  0
  84 27.47 0.017 270.0  45.0   17.44   1.476    24.7    0.78  999.867  40.870  7.0  0
  85 27.52 0.017   0.0   0.0   16.94   1.484    25.2    0.80 1063.815  45.339  7.0  0
  86 27.56 0.017   0.0  45.0   26.88   1.697    25.7    0.80 1002.202  29.737  7.0  0
  87 27.60 0.017  90.0  45.0   19.50   1.553    24.7    0.80 1139.285  43.874  7.0  0
  88 27.64 0.017 180.0  45.0   17.36   1.505    24.5    0.80 1162.785  49.192  7.0  0
  89 27.68 0.017 270.0  45.0   18.89   1.530    24.8    0.80 1088.510  42.619  7.0  0
  90 27.81 0.017   0.0   0.0   15.64   1.422    23.9    0.77 1002.731  44.247  6.9  0
  91 27.85 0.017   0.0  45.0   25.25   1.670    25.5    0.80 1045.973  32.744  6.9  0
  92 27.89 0.017  90.0  45.0   20.70   1.580    24.6    0.80 1139.743  41.898  6.9  0
  93 27.93 0.017 180.0  45.0   17.15   1.499    24.7    0.80 1147.723  48.998  6.9  0
  94 27.97 0.017 270.0  45.0   18.71   1.525    24.8    0.79 1079.840  42.529  6.9  0
  95 28.01 0.017   0.0   0.0   16.26   1.439    24.0    0.77 1002.953  42.994  6.9  0
  96 28.06 0.017   0.0  45.0   23.75   1.637    25.0    0.80 1062.558  34.792  6.9  0
  97 28.10 0.017  90.0  45.0   20.36   1.568    24.7    0.80 1110.394  41.155  6.9  0
  98 28.14 0.017 180.0  45.0   16.55   1.491    24.3    0.80 1207.008  53.369  6.9  0
  99 28.18 0.017 270.0  45.0   17.89   1.511    24.8    0.80 1111.686  45.628  6.8  0
 100 28.31 0.017   0.0   0.0   14.93   1.440    23.3    0.79 1226.921  58.387  6.8  1
 101 28.35 0.017   0.0  45.0   18.00   1.512    24.5    0.80 1124.401  45.865  6.8  0
 102 28.39 0.017  90.0  45.0   18.81   1.533    24.6    0.80 1125.018  44.421  6.8  0
 103 28.43 0.017 180.0  45.0   16.02   1.475    24.4    0.80 1180.103  53.357  6.8  1
 104 28.47 0.017 270.0  45.0   16.27   1.479    24.6    0.80 1160.383  51.718  6.8  1
 105 28.51 0.017   0.0   0.0   13.72   1.395    23.4    0.78 1150.212  57.763  6.8  1
 106 28.56 0.017   0.0  45.0   17.78   1.515    24.3    0.80 1178.775  48.950  6.7  0
 107 28.60 0.017  90.0  45.0   19.03   1.553    24.4    0.81 1212.708  48.117  6.7  0
 108 28.64 0.017 180.0  45.0   16.29   1.504    24.2    0.82 1311.800  59.872  6.7  1
 109 28.68 0.017 270.0  45.0   16.10   1.470    24.2    0.79 1157.405  51.748  6.7  1
 110 28.81 0.017   0.0   0.0   13.00   1.424    25.1    0.82 1265.533  69.540  6.7  1
 111 28.85 0.017   0.0  45.0   17.85   1.507    24.2    0.79 1132.196  46.438  6.7  0
 112 28.89 0.017  90.0  45.0   18.56   1.527    24.4    0.80 1133.768  45.217  6.6  0
 113 28.93 0.017 180.0  45.0   18.15   1.543    24.3    0.82 1272.835  52.993  6.6  0
 114 28.97 0.017 270.0  45.0   16.22   1.470    24.9    0.80 1101.783  48.820  6.6  0
 115 29.01 0.017   0.0   0.0   13.20   1.392    23.3    0.79 1212.053  63.511  6.6  1
 116 29.06 0.017   0.0  45.0   18.24   1.532    24.3    0.81 1205.148  49.354  6.6  0
 117 29.10 0.017  90.0  45.0   19.91   1.575    24.3    0.81 1232.681  47.339  6.6  0
 118 29.14 0.017 180.0  45.0   20.15   1.578    24.4    0.81 1205.956  45.731  6.6  0
 119 29.18 0.017 270.0  45.0   16.64   1.526    26.7    0.84 1205.076  54.553  6.6  1
