Millstone Hill RedLine  Brightness and Temperature
Plate gap:  1.0525 FSR:   84.4553 bin units sensitivity: 60.00000[bin units*(adu/pixel)]*1/R
mh151101   flats: mh151101  quadratic background, Poisson weighting, ( sky  )   moon phase:  Waning gibbous ;
avg. brightness Z (R):   26.2 +/- 24.3 avg. error:   2.0
avg. brightness N (R):   34.2 +/- 27.6 avg. error:   2.2  avg. brightness S (R):   33.2 +/- 29.7 avg. error:   2.2
avg. brightness E (R):   34.7 +/- 26.7 avg. error:   2.3  avg. brightness W (R):   33.5 +/- 30.0 avg. error:   2.2
avg. background Z (R):   49.2 +/- 36.2 avg. error:   1.6
avg. background N (R):   49.6 +/- 28.2 avg. error:   1.2  avg. background S (R):   63.8 +/- 62.3 avg. error:   3.6
avg. background E (R):   61.8 +/- 51.2 avg. error:   2.0  avg. background W (R):   53.2 +/- 59.7 avg. error:   2.2
     avg. temp. Z (K):  889.4 +/- 57.4 avg. error:  46.2
     avg. temp. N (K):  898.3 +/- 45.2 avg. error:  36.1  avg. temp. S (K):  887.1 +/- 69.5 avg. error:  42.0
     avg. temp. E (K):  887.5 +/- 56.4 avg. error:  39.9  avg. temp. W (K):  901.1 +/- 61.4 avg. error:  37.8
data quality: code=0 trustworthy;  code=1 be suspicious;  code=2 be dubious
 
 
 
 
 
 
image tmid Etime   AZ    ZN   signal Esignal   bkgnd  Ebkgnd   temp    Etemp  moon code
  #   hrs  hrs    deg   deg      R      R         R      R      K        K      %
   5 22.32 0.021   0.0   0.0  131.02   4.584   227.1    2.52  867.506  14.712 65.0  1
   6 22.37 0.021   0.0  45.0  144.84   4.471   168.2    2.20  921.503  13.465 64.9  1
   7 22.42 0.021  90.0  45.0  104.99   3.783   117.9    1.85  922.785  15.702 64.9  1
   8 22.47 0.021 180.0  45.0  142.74   4.165   112.2   15.16  942.558  12.709 64.9  1
   9 22.53 0.021 270.0  45.0  163.51   4.183    82.8    1.58  954.659  10.924 64.9  1
  10 22.78 0.021   0.0   0.0   69.61   2.754    37.5    1.06  966.846  17.204 64.8  0
  11 22.83 0.021   0.0  45.0   88.17   3.047    41.8    1.12  961.462  14.802 64.8  0
  12 22.88 0.021  90.0  45.0   72.01   2.826    41.2    1.11  971.382  17.219 64.8  0
  13 22.94 0.021 180.0  45.0   80.55   2.933    39.9    1.10  973.859  15.860 64.8  0
  14 22.99 0.021 270.0  45.0   85.62   2.986    38.1    1.08  983.787  15.240 64.8  0
  15 23.04 0.021   0.0   0.0   57.84   2.557    35.3    8.46  959.333  19.273 64.8  0
  16 23.09 0.021   0.0  45.0   72.21   2.807    39.5    1.09  953.268  16.660 64.7  0
  17 23.15 0.021  90.0  45.0   58.48   2.604    40.0    1.09  939.998  19.101 64.7  0
  18 23.20 0.021 180.0  45.0   60.65   2.630    38.8    1.07  952.767  18.784 64.7  0
  19 23.25 0.021 270.0  45.0   66.68   2.711    37.3    1.06  974.220  17.871 64.7  0
  20 23.50 0.021   0.0   0.0   43.02   2.292    35.3    1.01  916.840  22.546 64.6  0
  21 23.55 0.021   0.0  45.0   57.38   2.571    38.6    1.07  931.743  19.025 64.6  0
  22 23.61 0.021  90.0  45.0   50.26   2.467    39.8    1.08  933.009  21.108 64.6  0
  23 23.66 0.021 180.0  45.0   50.15   2.445    37.8    1.05  933.947  20.916 64.6  0
  24 23.71 0.021 270.0  45.0   51.53   2.453    35.8    1.03  951.033  20.703 64.6  0
  25 23.77 0.021   0.0   0.0   37.90   2.186    34.1    1.00  926.360  24.852 64.5  0
  26 23.82 0.021   0.0  45.0   51.23   2.452    37.0    1.04  920.225  20.152 64.5  0
  27 23.87 0.021  90.0  45.0   43.97   2.349    38.8    1.07  934.768  23.208 64.5  0
  28 23.92 0.021 180.0  45.0   45.19   2.354    37.5    1.04  919.643  22.136 64.5  0
  29 23.98 0.021 270.0  45.0   45.70   2.343    35.6    1.02  921.203  21.727 64.5  0
  30 24.23 0.021   0.0   0.0   31.26   2.041    33.8    0.98  889.801  27.296 64.4  0
  31 24.28 0.021   0.0  45.0   43.32   2.319    36.8    1.04  940.897  23.345 64.4  0
  32 24.33 0.021  90.0  45.0   35.68   2.187    38.7    1.06  906.628  26.150 64.4  0
  33 24.39 0.021 180.0  45.0   38.55   2.221    36.9    1.03  898.893  24.140 64.4  0
  34 24.44 0.021 270.0  45.0   39.96   2.244    35.3    1.02  947.810  24.762 64.4  0
  35 24.49 0.021   0.0   0.0   28.24   1.978    33.0    0.98  924.809  30.677 64.3  0
  36 24.55 0.021   0.0  45.0   38.67   2.236    36.6    1.04  954.366  25.801 64.3  0
  37 24.60 0.021  90.0  45.0   32.06   2.110    37.7    1.04  924.689  28.834 64.3  0
  38 24.65 0.021 180.0  45.0   33.26   2.123    36.4    8.61  920.062  27.739 64.3  0
  39 24.70 0.021 270.0  45.0   36.93   2.174    35.4    1.01  898.067  24.637 64.3  0
  40 24.95 0.021   0.0   0.0   23.85   1.873    33.4    0.97  885.351  33.263 64.2  0
  41 25.00 0.021   0.0  45.0   35.38   2.153    36.1    1.02  902.205  25.714 64.2  0
  42 25.06 0.021  90.0  45.0   27.42   2.008    37.2    1.04  925.172  32.424 64.2  0
  43 25.11 0.021 180.0  45.0   28.47   2.014    35.7    1.02  925.546  31.166 64.2  0
  44 25.16 0.021 270.0  45.0   33.09   2.129    36.4    8.63  952.434  29.033 64.2  0
  45 25.22 0.021   0.0   0.0   22.39   1.835    32.5    0.96  910.449  35.839 64.1  0
  46 25.27 0.021   0.0  45.0   34.31   2.138    36.1    1.02  925.663  27.127 64.1  0
  47 25.32 0.021  90.0  45.0   26.12   1.980    37.0    1.03  937.525  34.149 64.1  0
  48 25.38 0.021 180.0  45.0   25.23   1.939    35.3    1.01  928.497  34.244 64.1  0
  49 25.43 0.021 270.0  45.0   31.22   2.072    35.9    1.02  922.310  28.954 64.1  0
  50 25.68 0.021   0.0   0.0   21.04   1.806    32.4    0.97  926.333  38.406 64.0  1
