Millstone Hill RedLine  Brightness and Temperature
Plate gap:  1.0525 FSR:   84.0761 bin units sensitivity: 60.00000[bin units*(adu/pixel)]*1/R
mh220301   flats: mh220301  quadratic background, Poisson weighting, ( sky  )   moon phase:  NEW      ; Moon 
avg. brightness Z (R):   17.0 +/- 14.5 avg. error:   1.8
avg. brightness N (R):   16.6 +/-  9.5 avg. error:   1.8  avg. brightness S (R):   19.4 +/- 14.0 avg. error:   1.9
avg. brightness E (R):   21.5 +/- 12.9 avg. error:   2.0  avg. brightness W (R):   17.2 +/- 14.2 avg. error:   1.8
avg. background Z (R):   43.5 +/- 18.5 avg. error:   1.1
avg. background N (R):   43.4 +/- 16.0 avg. error:   1.1  avg. background S (R):   49.8 +/- 30.9 avg. error:   1.2
avg. background E (R):   56.6 +/- 39.5 avg. error:   1.2  avg. background W (R):   44.8 +/- 20.8 avg. error:   1.1
     avg. temp. Z (K):  909.9 +/- 68.7 avg. error:  61.2
     avg. temp. N (K):  907.0 +/- 58.7 avg. error:  58.3  avg. temp. S (K):  943.7 +/- 65.4 avg. error:  58.8
     avg. temp. E (K):  895.9 +/- 63.7 avg. error:  51.1  avg. temp. W (K):  912.0 +/- 53.8 avg. error:  60.2
data quality: code=0 trustworthy;  code=1 be suspicious;  code=2 be dubious
Location latitude: 42.61, longitude: -71.48
SS-Analyze V05.02
 
 
 
 
image tmid Etime   AZ    ZN   signal Esignal   bkgnd  Ebkgnd   temp    Etemp  moon code
  #   hrs  hrs    deg   deg      R      R         R      R      K        K      %
   2 23.19 0.012  90.0  45.0   59.97   3.643   187.1    2.32  935.130  28.718  7.3  2
   3 23.24 0.012 180.0  45.0   67.00   3.663   169.7    2.23  978.700  26.795  7.3  2
   4 23.28 0.012 270.0  45.0   76.41   3.521   128.3    1.94  959.214  21.528  7.3  1
   5 23.33 0.012 270.0   0.0   80.06   3.459   109.5    1.81  984.226  20.466  7.2  1
   6 23.37 0.012   0.0  45.0   49.97   2.876    85.9    1.60  989.198  27.834  7.2  1
   7 23.41 0.012  90.0  45.0   44.51   2.856    94.8    1.67  984.911  31.324  7.2  1
   8 23.45 0.012 180.0  45.0   46.92   2.855    89.2    1.63  991.678  29.704  7.2  1
   9 23.49 0.012 270.0  45.0   45.81   2.731    76.5    1.50  979.654  28.479  7.2  1
  10 23.66 0.012 270.0   0.0   37.81   2.502    63.1    1.38 1035.679  33.548  7.2  1
  11 23.69 0.012   0.0  45.0   31.95   2.340    59.7    1.33  973.336  35.006  7.1  1
  12 23.73 0.012  90.0  45.0   27.79   2.354    69.7    1.43  983.196  41.704  7.1  2
  13 23.77 0.012 180.0  45.0   22.75   2.302    71.4    1.47 1059.939  54.650  7.1  2
  14 23.81 0.012 270.0  45.0   20.26   2.164    63.2    1.38 1050.563  57.130  7.1  2
  15 23.86 0.012 270.0   0.0   19.16   2.082    58.7    1.32 1018.218  56.136  7.1  2
  16 23.90 0.012   0.0  45.0   14.18   1.903    54.9    1.26  968.986  66.641  7.1  2
  17 23.94 0.012  90.0  45.0   14.27   1.985    62.9    1.35  957.726  68.652  7.1  2
  18 23.98 0.012 180.0  45.0   14.98   2.059    63.8    1.39 1072.596  76.374  7.1  2
  19 24.01 0.012 270.0  45.0   15.02   1.932    56.0    1.27  957.609  62.961  7.1  2
  20 24.18 0.012 270.0   0.0   13.15   1.875    52.7    1.25 1024.801  75.224  7.0  2
  21 24.22 0.012   0.0  45.0   11.46   1.812    49.6    1.22 1074.326  88.046  7.0  2
